id,title,productImgSrc,detailImgSrc,amount,originalAmount,sale,categoryId,createdAt,updatedAt
1,"티셔츠. 헐",public/image/product/big/1.jpg,public/image/product/detail/1.jpg,23000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
2,"카드케이스. 덮어놓고 긁다보면",public/image/product/big/2.jpg,public/image/product/detail/2.jpg,8000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
3,"마스크. 매너모드",public/image/product/big/3.jpg,public/image/product/detail/3.jpg,8000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
4,"여권케이스. 여행하기 좋은여건 (화이트)",public/image/product/big/4.jpg,public/image/product/detail/4.jpg,12000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
5,"뱃지. 초딩입맛 외 10종",public/image/product/big/5.jpg,public/image/product/detail/5.jpg,1500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
6,"캐리어벨트. ㅋㅋㅋ",public/image/product/big/6.jpg,public/image/product/detail/6.jpg,16000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
7,"수건. 너 먼저 씻어",public/image/product/big/7.jpg,public/image/product/detail/7.jpg,9900,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
8,"팝소켓. 뾱",public/image/product/big/8.jpg,public/image/product/detail/8.jpg,11900,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
9,"티셔츠. 연애중이면좋겠다",public/image/product/big/9.jpg,public/image/product/detail/9.jpg,23000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
10,"연필꽂이. 머그컵같은연필꽂이",public/image/product/big/10.jpg,public/image/product/detail/10.jpg,9000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
11,"노트. 연애중이면 좋겠다",public/image/product/big/11.jpg,public/image/product/detail/11.jpg,2500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
12,"노트. 살찌는 것은 죄가 아니다",public/image/product/big/12.jpg,public/image/product/detail/12.jpg,2500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
13,"노트. 굿",public/image/product/big/13.jpg,public/image/product/detail/13.jpg,2500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
14,"USB. 이런십육기가",public/image/product/big/14.jpg,public/image/product/detail/14.jpg,38000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
15,"미니카드. 배고프니까 청춘이다",public/image/product/big/15.jpg,public/image/product/detail/15.jpg,1500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
16,"미니카드. 살찌는 것은 죄가 아니다",public/image/product/big/16.jpg,public/image/product/detail/16.jpg,1500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
17,"노트. 청소를 안하면",public/image/product/big/17.jpg,public/image/product/detail/17.jpg,2500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
18,"노트. 헐",public/image/product/big/18.jpg,public/image/product/detail/18.jpg,2500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
19,"노트. 씻고자자",public/image/product/big/19.jpg,public/image/product/detail/19.jpg,2500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
20,"볼펜. 나도 언젠간 쓸데가 있겠지",public/image/product/big/20.jpg,public/image/product/detail/20.jpg,2000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
21,"손거울. 거울에 보이는것보다 이뻐요~",public/image/product/big/21.jpg,public/image/product/detail/21.jpg,8000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
22,"에코백. 난너의든든한빽",public/image/product/big/22.jpg,public/image/product/detail/22.jpg,15000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
23,"엽서. 헐",public/image/product/big/23.jpg,public/image/product/detail/23.jpg,1000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
24,"엽서. 배고프니까 청춘이다",public/image/product/big/24.jpg,public/image/product/detail/24.jpg,1000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
25,"엽서. 살찌는 것은 죄가 아니다",public/image/product/big/25.jpg,public/image/product/detail/25.jpg,1000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
26,"티셔츠. 이끌든지 따르든지 비키든지",public/image/product/big/26.jpg,public/image/product/detail/26.jpg,23000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
27,"클리너. 닦으면 비로소 보이는 것들",public/image/product/big/27.jpg,public/image/product/detail/27.jpg,3500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
28,"파일. 교수님 사랑해요",public/image/product/big/28.jpg,public/image/product/detail/28.jpg,1500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
29,"파일. 사장님이 최고예요",public/image/product/big/29.jpg,public/image/product/detail/29.jpg,1500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
30,"(구.)볼펜세트. 어머 펜이에요~",public/image/product/big/30.jpg,public/image/product/detail/30.jpg,3500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
31,"메모잇. 까먹지 말자",public/image/product/big/31.jpg,public/image/product/detail/31.jpg,2000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
32,"티셔츠. 살찌는것은 죄가 아니다",public/image/product/big/32.jpg,public/image/product/detail/32.jpg,23000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
33,"때수건. 다 때가 있다",public/image/product/big/33.jpg,public/image/product/detail/33.jpg,2000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
34,"담요. 외롭지않아, 단지 추울뿐",public/image/product/big/34.jpg,public/image/product/detail/34.jpg,15000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
35,"포스터. 배고프니까 청춘 외 16종",public/image/product/big/35.jpg,public/image/product/detail/35.jpg,3000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
36,"네임택. 찜 (화이트)",public/image/product/big/36.jpg,public/image/product/detail/36.jpg,3000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
37,"돗자리. 앉으면 내땅",public/image/product/big/37.jpg,public/image/product/detail/37.jpg,3000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
38,"맨투맨. 헐",public/image/product/big/38.jpg,public/image/product/detail/38.jpg,38000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
39,"미니카드. 굿",public/image/product/big/39.jpg,public/image/product/detail/39.jpg,1500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
40,"지우개. 내 번호 지우지마",public/image/product/big/40.jpg,public/image/product/detail/40.jpg,1500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
41,"양말. 내짝은 어디에",public/image/product/big/41.jpg,public/image/product/detail/41.jpg,3500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
42,"양말. 왼발오른발",public/image/product/big/42.jpg,public/image/product/detail/42.jpg,3500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
43,"파일. 팀장님 짱짱맨",public/image/product/big/43.jpg,public/image/product/detail/43.jpg,1500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
44,미니노트세트(5개입),public/image/product/big/44.jpg,public/image/product/detail/44.jpg,4500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
45,"링노트. 이끌든지 따르든지 비키든지",public/image/product/big/45.jpg,public/image/product/detail/45.jpg,2000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
46,"링노트. 청소를 안하면",public/image/product/big/46.jpg,public/image/product/detail/46.jpg,2000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
47,"링노트. 헐",public/image/product/big/47.jpg,public/image/product/detail/47.jpg,2000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
48,"링노트. 오늘 먹을 치킨",public/image/product/big/48.jpg,public/image/product/detail/48.jpg,2000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
49,"링노트. 못해솔로",public/image/product/big/49.jpg,public/image/product/detail/49.jpg,2000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
50,"여권케이스. 여행하기 좋은여건 (블랙)",public/image/product/big/50.jpg,public/image/product/detail/50.jpg,12000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
51,"목베개. 여기목좋아요",public/image/product/big/51.jpg,public/image/product/detail/51.jpg,12000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
52,"네임택. 찜 (블랙)",public/image/product/big/52.jpg,public/image/product/detail/52.jpg,4500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
53,"부채. 수동바람 태풍바람",public/image/product/big/53.jpg,public/image/product/detail/53.jpg,4500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
54,"부채. 힘에부침 셀프냉방",public/image/product/big/54.jpg,public/image/product/detail/54.jpg,4500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
55,"안대. 깨우면안대",public/image/product/big/55.jpg,public/image/product/detail/55.jpg,4500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
56,"연필. 흑심있어요",public/image/product/big/56.jpg,public/image/product/detail/56.jpg,1000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
57,"맨투맨. 헐 블랙",public/image/product/big/57.jpg,public/image/product/detail/57.jpg,38000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
